,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
6099,"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,34,564127.21,110924.09,88765.21
6100,"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,45,432846.82,76295.16,63747.24
6101,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,13,79889.23,8192.38,6750.54
6102,055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,12,86672.17,7561.17,6597.33
6103,056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,14,107313.07,12750.93,11921.57
6104,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,35,59388.09,8025.71,6614.54
6105,060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,11,46815.45,6562.82,5483.0
6106,062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,14,140689.43,15358.93,11694.5
6107,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,81,165655.67,14784.35,13498.14
6108,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,121,98538.31,8744.17,7569.93
6109,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,54,69720.74,6284.43,5083.11
6110,069 - TRANSIENT ISCHEMIA,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,101,61936.12,5914.77,4703.02
6111,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,16,88787.13,7982.19,6888.38
6112,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,20,72060.05,7833.9,6661.15
6113,"083 - TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,12,86178.17,10410.92,7939.25
6114,"085 - TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,18,153893.89,15129.28,14183.17
6115,"086 - TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,36,79652.47,8814.58,7698.56
6116,"087 - TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,43,67677.4,8905.37,4651.44
6117,090 - CONCUSSION W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,11,64250.0,10485.09,4405.82
6118,091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,15,132236.8,23514.07,11688.67
6119,092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,26,75459.27,7345.54,6351.38
6120,093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,15,41927.2,5564.73,4456.47
6121,100 - SEIZURES W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,30,96709.73,12221.47,11412.9
6122,101 - SEIZURES W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,61,62480.9,6513.7,5089.11
